"Name","Desc","Effect","TypeEffect","EffectGain","EOL"
"Savoir caché","Ils nous mentent ! Vous ne savez pas exactement qui sont ils mais sûrement un groupuscule puissant manipulant nos vies dans l’ombre. En y repensant votre voisin organise des sardinades. Cette façade ne dupe pas un esprit aussi éclairé que vous.","+4 au résultat d’un jet étrange","étrange","-4","EOL"
"éponge lunaire","Une tache tenace ? Marre de passer vos matinées à frotter le sol de votre garage pour nettoyer les restes de vos soirées endiablées de rituels entre amis ? ","+1 Santé","santé","-1","EOL"
"Liste des riches bougistes","Ils sont peu mais possèdent presque tout. Des bougies parfumées pour chasser les mauvais esprits des sanitaires aux modèles les plus luxueux, leur empire est vaste. Ce sont les 1%. ","+2 au résultat d’un jet rationnel","rationnel","-2","EOL"
"Manuel des lunes invisibles","Beaucoup réfutent l’existence des choses qu’ils ne parviennent pas à voir. Pourtant le monde de l'invisible ne demande qu’à être vu. 
Chaque jour, des esprits éclairés recensent et détaillent les 45 885 687,223 lunes de notre système solaire. 
En ce moment, vous êtes peut-être accoudé à une lune.","+1 au résultat d’un jet étrange","étrange","-1","EOL"
"Subvention A38","Comme précisé par la circulaire Vb12.46 introduite par l'article 23.54.23, l’inversion d’un inverse est à opposer après avoir apposé le dépôt.   PS : Uniquement les jours fériés. ","Inverser les effets de réussite et d’échec d’une carte événement","inverser","0","EOL"
"Anatidaephobie","Certains imaginent qu’un petit groupe contrôle nos vies, d’autres pensent que nos dirigeants les plus éminents sont des reptiliens. Tous se trompent. Ce sont les canards qui sont au commande. La prochaine fois que vous vous faites du magret, vous remarquerez qu’il vous arrive rapidement après un malheur.  ILS NOUS OBSERVENT ! ","-2 Raison ET +4 au résultat d’un jet étrange","raison+étrange","-2,-4","EOL"
"Fidèle naïf","On dit souvent que tout ce qui est avant le “mais” ne compte pas. 
Pourtant il est gentil, serviable, attentionné, ponctuel, connaît sa gauche et sa droite, sait écouter MAIS il réfléchit moins qu’un miroir repeint que l’on aurait fixé à l’envers au mur derrière un rideau.","Réduit de 1 un malus sur la Santé ou la Raison","réductionMalus","-1","EOL"
"Rêves brisés","Cette nuit j'ai fait un rêve, je gagnais 1 million de sesterces... Et avec je m'achetais une paire de chaussure, trop grande et puis moche en plus !
Comme pourrait le témoigner ce soldat, certains rêves peuvent être brisés sans gènes.","+2 au résultat d’un jet rationnel","rationnel","-2","EOL"
"Retour vers le passé 3","Après son voyage mouvementé entre passé, présent et futur, Kévin Dupont apprend par un email vieux de 20 minutes que son ami Pseudodu91 a besoin d’un chargeur de téléphone pour finir de regarder le dernier live de Rihanna. Arrivera-t’il à temps avant que le pire arrive ? ","En cas d’échec, possibilité de choisir une autre action (sans subir les effets de la première action)","changeAction","0","EOL"
"Nettoyeur fou","La moindre tache vous rend dingue !
Vous connaissez toutes les astuces de grand-mère, possédez tous les logiciels de To Do List et connaissez par cœur le raccourci Ctrl + Maj + Echap.","-1 Raison ET +2 au résultat d’un jet démon","raison+démon","-1,-2","EOL"
